sample_id,split,landslide_px,asc_pre_bad_pct,asc_pre_c0,asc_pre_c1,asc_pre_c2,asc_pre_c3,desc_pre_bad_pct,desc_pre_c0,desc_pre_c1,desc_pre_c2,desc_pre_c3,asc_post_bad_pct,asc_post_c0,asc_post_c1,asc_post_c2,asc_post_c3,desc_post_bad_pct,desc_post_c0,desc_post_c1,desc_post_c2,desc_post_c3,asc_pre_src,desc_pre_src,asc_post_src,desc_post_src,opt_pre_src,opt_post_src,ann_src
0,train,260,4.681,15617,767,0,0,0.494,16303,64,17,0,4.681,15617,767,0,0,0.494,16303,64,17,0,Pre_event/S1_ASC_20210805/0.tif,Pre_event/S1_DESC_20210803/0.tif,Post_event/S1_ASC_20210817/0.tif,Post_event/S1_DESC_20210815/0.tif,Pre_event/S2_20210804/0.tif,Post_event/S2_20210814/0.tif,Annotations/0.tif
1,train,260,1.562,16128,256,0,0,0.494,16303,64,17,0,1.562,16128,256,0,0,0.494,16303,64,17,0,Pre_event/S1_ASC_20210805/1.tif,Pre_event/S1_DESC_20210803/1.tif,Post_event/S1_ASC_20210817/1.tif,Post_event/S1_DESC_20210815/1.tif,Pre_event/S2_20210804/1.tif,Post_event/S2_20210814/1.tif,Annotations/1.tif
2,train,260,4.688,15616,768,0,0,0.378,16322,45,17,0,4.688,15616,768,0,0,0.378,16322,45,17,0,Pre_event/S1_ASC_20210805/2.tif,Pre_event/S1_DESC_20210803/2.tif,Post_event/S1_ASC_20210817/2.tif,Post_event/S1_DESC_20210815/2.tif,Pre_event/S2_20210804/2.tif,Post_event/S2_20210814/2.tif,Annotations/2.tif
3,val,260,1.526,16134,250,0,0,0.378,16322,45,17,0,1.526,16134,250,0,0,0.378,16322,45,17,0,Pre_event/S1_ASC_20210805/3.tif,Pre_event/S1_DESC_20210803/3.tif,Post_event/S1_ASC_20210817/3.tif,Post_event/S1_DESC_20210815/3.tif,Pre_event/S2_20210804/3.tif,Post_event/S2_20210814/3.tif,Annotations/3.tif
4,train,128,7.568,15144,1240,0,0,21.6,12845,3529,10,0,7.568,15144,1240,0,0,21.6,12845,3529,10,0,Pre_event/S1_ASC_20210805/4.tif,Pre_event/S1_DESC_20210803/4.tif,Post_event/S1_ASC_20210817/4.tif,Post_event/S1_DESC_20210815/4.tif,Pre_event/S2_20210804/4.tif,Post_event/S2_20210814/4.tif,Annotations/4.tif
5,train,126,5.011,15563,812,9,0,30.963,11311,5057,10,6,5.011,15563,812,9,0,30.963,11311,5057,10,6,Pre_event/S1_ASC_20210805/5.tif,Pre_event/S1_DESC_20210803/5.tif,Post_event/S1_ASC_20210817/5.tif,Post_event/S1_DESC_20210815/5.tif,Pre_event/S2_20210804/5.tif,Post_event/S2_20210814/5.tif,Annotations/5.tif
6,train,131,23.81,12483,3901,0,0,14.044,14083,2290,11,0,23.81,12483,3901,0,0,14.044,14083,2290,11,0,Pre_event/S1_ASC_20210805/6.tif,Pre_event/S1_DESC_20210803/6.tif,Post_event/S1_ASC_20210817/6.tif,Post_event/S1_DESC_20210815/6.tif,Pre_event/S2_20210804/6.tif,Post_event/S2_20210814/6.tif,Annotations/6.tif
7,train,129,28.448,11723,4652,9,0,19.202,13238,3133,13,0,28.448,11723,4652,9,0,19.202,13238,3133,13,0,Pre_event/S1_ASC_20210805/7.tif,Pre_event/S1_DESC_20210803/7.tif,Post_event/S1_ASC_20210817/7.tif,Post_event/S1_DESC_20210815/7.tif,Pre_event/S2_20210804/7.tif,Post_event/S2_20210814/7.tif,Annotations/7.tif
8,train,274,17.664,13490,2894,0,0,15.338,13871,2510,3,0,17.664,13490,2894,0,0,15.338,13871,2510,3,0,Pre_event/S1_ASC_20210805/8.tif,Pre_event/S1_DESC_20210803/8.tif,Post_event/S1_ASC_20210817/8.tif,Post_event/S1_DESC_20210815/8.tif,Pre_event/S2_20210804/8.tif,Post_event/S2_20210814/8.tif,Annotations/8.tif
9,train,326,24.823,12317,4067,0,0,8.191,15042,1337,5,0,24.823,12317,4067,0,0,8.191,15042,1337,5,0,Pre_event/S1_ASC_20210805/9.tif,Pre_event/S1_DESC_20210803/9.tif,Post_event/S1_ASC_20210817/9.tif,Post_event/S1_DESC_20210815/9.tif,Pre_event/S2_20210804/9.tif,Post_event/S2_20210814/9.tif,Annotations/9.tif
