sample_id,split,seed
0,train,42
1,train,42
2,train,42
3,train,42
4,train,42
5,train,42
6,train,42
7,train,42
8,train,42
9,train,42
10,test,42
11,train,42
12,train,42
13,train,42
14,train,42
15,train,42
16,test,42
17,train,42
18,train,42
19,train,42
20,train,42
21,train,42
22,train,42
23,train,42
24,train,42
25,train,42
26,train,42
27,train,42
28,train,42
29,train,42
30,train,42
31,test,42
32,train,42
33,train,42
34,test,42
35,train,42
36,test,42
37,test,42
38,train,42
39,train,42
40,train,42
41,train,42
42,train,42
43,train,42
44,train,42
45,train,42
46,test,42
47,train,42
48,train,42
49,train,42
50,train,42
51,train,42
52,test,42
53,train,42
54,train,42
55,test,42
56,train,42
57,train,42
58,train,42
59,train,42
60,train,42
61,train,42
62,test,42
63,test,42
64,train,42
65,train,42
66,train,42
67,test,42
68,train,42
69,train,42
70,train,42
71,train,42
72,train,42
73,train,42
74,train,42
75,train,42
76,train,42
77,train,42
78,train,42
79,train,42
80,train,42
81,train,42
82,train,42
83,train,42
84,train,42
85,train,42
86,train,42
87,train,42
88,test,42
89,test,42
90,train,42
91,train,42
92,train,42
93,train,42
94,train,42
95,train,42
96,test,42
97,train,42
98,train,42
99,train,42
100,train,42
101,train,42
102,train,42
103,train,42
104,train,42
105,train,42
106,train,42
107,test,42
108,train,42
109,test,42
110,train,42
111,train,42
112,train,42
113,train,42
114,train,42
115,train,42
116,train,42
117,train,42
118,test,42
119,train,42
120,train,42
121,train,42
122,test,42
123,train,42
124,train,42
125,test,42
126,train,42
127,train,42
128,train,42
129,test,42
130,train,42
131,train,42
132,train,42
133,train,42
134,train,42
135,train,42
136,test,42
137,test,42
138,test,42
139,train,42
140,train,42
141,test,42
142,train,42
143,train,42
144,train,42
145,train,42
146,train,42
147,train,42
148,train,42
149,train,42
150,train,42
151,train,42
152,test,42
153,test,42
154,train,42
155,train,42
156,train,42
157,train,42
158,train,42
159,train,42
160,train,42
161,train,42
162,train,42
163,test,42
164,train,42
165,train,42
166,train,42
167,train,42
168,test,42
169,train,42
170,test,42
171,train,42
172,train,42
173,train,42
174,train,42
175,train,42
176,train,42
177,test,42
178,train,42
179,train,42
180,train,42
181,train,42
182,test,42
183,train,42
184,train,42
185,test,42
186,train,42
187,test,42
188,train,42
189,train,42
190,train,42
191,train,42
192,test,42
193,train,42
194,train,42
195,train,42
196,train,42
197,train,42
198,train,42
199,train,42
200,test,42
201,train,42
202,test,42
203,train,42
204,train,42
205,test,42
206,train,42
207,train,42
208,test,42
209,train,42
210,train,42
211,train,42
212,train,42
213,train,42
214,train,42
215,train,42
216,train,42
217,train,42
218,train,42
219,train,42
220,test,42
221,train,42
222,train,42
223,train,42
224,train,42
225,test,42
226,train,42
227,train,42
228,train,42
229,train,42
230,train,42
231,train,42
232,train,42
233,test,42
234,test,42
235,test,42
236,test,42
237,train,42
238,train,42
239,train,42
240,test,42
241,train,42
242,train,42
243,train,42
244,train,42
245,train,42
246,train,42
247,train,42
248,test,42
249,test,42
250,train,42
251,train,42
252,train,42
253,train,42
254,test,42
255,train,42
256,test,42
257,train,42
258,test,42
259,train,42
260,train,42
261,train,42
262,train,42
263,train,42
264,train,42
265,train,42
266,test,42
267,train,42
268,train,42
269,train,42
270,train,42
271,train,42
272,train,42
273,test,42
274,train,42
275,train,42
276,test,42
277,test,42
278,test,42
279,train,42
280,train,42
281,train,42
282,test,42
283,train,42
284,train,42
285,test,42
286,train,42
287,train,42
288,train,42
289,train,42
290,test,42
291,train,42
292,train,42
293,train,42
294,test,42
295,train,42
296,train,42
297,train,42
298,train,42
299,train,42
300,train,42
301,train,42
302,train,42
303,train,42
304,train,42
305,test,42
306,train,42
307,train,42
308,train,42
309,train,42
310,train,42
311,train,42
312,train,42
313,train,42
314,train,42
