sample_id,left,bottom,right,top,transform_a,transform_e,spatial_group_id,spatial_group_size,split,bbox_wgs84
0,-74.24310068119043,18.30900917565627,-74.23160224555369,18.320507611293003,8.98315284120114e-05,-8.983152841195546e-05,0,4,val,"-74.2431006812,18.3090091757,-74.2316022456,18.3205076113"
1,-74.24310068119043,18.303259957837906,-74.23160224555369,18.314758393474637,8.98315284120114e-05,-8.983152841195546e-05,0,4,val,"-74.2431006812,18.3032599578,-74.2316022456,18.3147583935"
2,-74.23735146337206,18.30900917565627,-74.22585302773533,18.320507611293003,8.98315284120114e-05,-8.983152841195546e-05,0,4,val,"-74.2373514634,18.3090091757,-74.2258530277,18.3205076113"
3,-74.23735146337206,18.303259957837906,-74.22585302773533,18.314758393474637,8.98315284120114e-05,-8.983152841195546e-05,0,4,val,"-74.2373514634,18.3032599578,-74.2258530277,18.3147583935"
4,-74.23160224555369,18.452739621115395,-74.22010380991696,18.464238056752126,8.983152841189951e-05,-8.983152841195546e-05,1,18,val,"-74.2316022456,18.4527396211,-74.2201038099,18.4642380568"
5,-74.23160224555369,18.44699040329703,-74.22010380991696,18.45848883893376,8.983152841189951e-05,-8.983152841195546e-05,1,18,val,"-74.2316022456,18.4469904033,-74.2201038099,18.4584888389"
6,-74.22585302773533,18.452739621115395,-74.2143545920986,18.464238056752126,8.983152841189951e-05,-8.983152841195546e-05,1,18,val,"-74.2258530277,18.4527396211,-74.2143545921,18.4642380568"
7,-74.22585302773533,18.44699040329703,-74.2143545920986,18.45848883893376,8.983152841189951e-05,-8.983152841195546e-05,1,18,val,"-74.2258530277,18.4469904033,-74.2143545921,18.4584888389"
8,-74.22010380991696,18.452739621115395,-74.20860537428024,18.464238056752126,8.983152841189951e-05,-8.983152841195546e-05,1,18,val,"-74.2201038099,18.4527396211,-74.2086053743,18.4642380568"
9,-74.22010380991696,18.44699040329703,-74.20860537428024,18.45848883893376,8.983152841189951e-05,-8.983152841195546e-05,1,18,val,"-74.2201038099,18.4469904033,-74.2086053743,18.4584888389"
10,-74.2143545920986,18.452739621115395,-74.20285615646186,18.464238056752126,8.98315284120114e-05,-8.983152841195546e-05,1,18,val,"-74.2143545921,18.4527396211,-74.2028561565,18.4642380568"
11,-74.2143545920986,18.44699040329703,-74.20285615646186,18.45848883893376,8.98315284120114e-05,-8.983152841195546e-05,1,18,val,"-74.2143545921,18.4469904033,-74.2028561565,18.4584888389"
12,-74.2143545920986,18.441241185478663,-74.20285615646186,18.452739621115395,8.98315284120114e-05,-8.983152841195546e-05,1,18,val,"-74.2143545921,18.4412411855,-74.2028561565,18.4527396211"
13,-74.2143545920986,18.4354919676603,-74.20285615646186,18.44699040329703,8.98315284120114e-05,-8.983152841192748e-05,1,18,val,"-74.2143545921,18.4354919677,-74.2028561565,18.4469904033"
14,-74.20860537428024,18.452739621115395,-74.1971069386435,18.464238056752126,8.98315284120114e-05,-8.983152841195546e-05,1,18,val,"-74.2086053743,18.4527396211,-74.1971069386,18.4642380568"
15,-74.20860537428024,18.44699040329703,-74.1971069386435,18.45848883893376,8.98315284120114e-05,-8.983152841195546e-05,1,18,val,"-74.2086053743,18.4469904033,-74.1971069386,18.4584888389"
16,-74.20860537428024,18.441241185478663,-74.1971069386435,18.452739621115395,8.98315284120114e-05,-8.983152841195546e-05,1,18,val,"-74.2086053743,18.4412411855,-74.1971069386,18.4527396211"
17,-74.20860537428024,18.4354919676603,-74.1971069386435,18.44699040329703,8.98315284120114e-05,-8.983152841192748e-05,1,18,val,"-74.2086053743,18.4354919677,-74.1971069386,18.4469904033"
18,-74.20285615646188,18.452739621115395,-74.19135772082514,18.464238056752126,8.98315284120114e-05,-8.983152841195546e-05,1,18,val,"-74.2028561565,18.4527396211,-74.1913577208,18.4642380568"
19,-74.20285615646188,18.44699040329703,-74.19135772082514,18.45848883893376,8.98315284120114e-05,-8.983152841195546e-05,1,18,val,"-74.2028561565,18.4469904033,-74.1913577208,18.4584888389"
20,-74.20285615646188,18.441241185478663,-74.19135772082514,18.452739621115395,8.98315284120114e-05,-8.983152841195546e-05,1,18,val,"-74.2028561565,18.4412411855,-74.1913577208,18.4527396211"
21,-74.20285615646188,18.4354919676603,-74.19135772082514,18.44699040329703,8.98315284120114e-05,-8.983152841192748e-05,1,18,val,"-74.2028561565,18.4354919677,-74.1913577208,18.4469904033"
22,-74.19135772082514,18.337755264748097,-74.17985928518841,18.34925370038483,8.983152841189951e-05,-8.983152841195546e-05,2,4,test,"-74.1913577208,18.3377552647,-74.1798592852,18.3492537004"
23,-74.19135772082514,18.33200604692973,-74.17985928518841,18.343504482566463,8.983152841189951e-05,-8.983152841195546e-05,2,4,test,"-74.1913577208,18.3320060469,-74.1798592852,18.3435044826"
24,-74.18560850300678,18.337755264748097,-74.17411006737004,18.34925370038483,8.98315284120114e-05,-8.983152841195546e-05,2,4,test,"-74.1856085030,18.3377552647,-74.1741100674,18.3492537004"
25,-74.18560850300678,18.33200604692973,-74.17411006737004,18.343504482566463,8.98315284120114e-05,-8.983152841195546e-05,2,4,test,"-74.1856085030,18.3320060469,-74.1741100674,18.3435044826"
26,-74.17985928518841,18.46998727457049,-74.16836084955168,18.48148571020722,8.98315284120114e-05,-8.983152841195546e-05,3,1269,train,"-74.1798592852,18.4699872746,-74.1683608496,18.4814857102"
27,-74.17985928518841,18.464238056752123,-74.16836084955168,18.475736492388855,8.98315284120114e-05,-8.983152841195546e-05,3,1269,train,"-74.1798592852,18.4642380568,-74.1683608496,18.4757364924"
28,-74.17411006737005,18.46998727457049,-74.16261163173331,18.48148571020722,8.98315284120114e-05,-8.983152841195546e-05,3,1269,train,"-74.1741100674,18.4699872746,-74.1626116317,18.4814857102"
29,-74.17411006737005,18.464238056752123,-74.16261163173331,18.475736492388855,8.98315284120114e-05,-8.983152841195546e-05,3,1269,train,"-74.1741100674,18.4642380568,-74.1626116317,18.4757364924"
30,-74.17411006737005,18.45848883893376,-74.16261163173331,18.469987274570492,8.98315284120114e-05,-8.983152841195546e-05,3,1269,train,"-74.1741100674,18.4584888389,-74.1626116317,18.4699872746"
31,-74.17411006737005,18.383749007295016,-74.16261163173331,18.395247442931748,8.98315284120114e-05,-8.983152841195546e-05,3,1269,train,"-74.1741100674,18.3837490073,-74.1626116317,18.3952474429"
32,-74.17411006737005,18.37799978947665,-74.16261163173331,18.389498225113382,8.98315284120114e-05,-8.983152841195546e-05,3,1269,train,"-74.1741100674,18.3779997895,-74.1626116317,18.3894982251"
33,-74.17411006737005,18.372250571658284,-74.16261163173331,18.383749007295016,8.98315284120114e-05,-8.983152841195546e-05,3,1269,train,"-74.1741100674,18.3722505717,-74.1626116317,18.3837490073"
34,-74.16836084955168,18.475736492388855,-74.15686241391495,18.487234928025586,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1683608496,18.4757364924,-74.1568624139,18.4872349280"
35,-74.16836084955168,18.46998727457049,-74.15686241391495,18.48148571020722,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1683608496,18.4699872746,-74.1568624139,18.4814857102"
36,-74.16836084955168,18.464238056752123,-74.15686241391495,18.475736492388855,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1683608496,18.4642380568,-74.1568624139,18.4757364924"
37,-74.16836084955168,18.45848883893376,-74.15686241391495,18.469987274570492,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1683608496,18.4584888389,-74.1568624139,18.4699872746"
38,-74.16836084955168,18.452739621115395,-74.15686241391495,18.464238056752126,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1683608496,18.4527396211,-74.1568624139,18.4642380568"
39,-74.16836084955168,18.383749007295016,-74.15686241391495,18.395247442931748,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1683608496,18.3837490073,-74.1568624139,18.3952474429"
40,-74.16836084955168,18.37799978947665,-74.15686241391495,18.389498225113382,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1683608496,18.3779997895,-74.1568624139,18.3894982251"
41,-74.16836084955168,18.372250571658284,-74.15686241391495,18.383749007295016,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1683608496,18.3722505717,-74.1568624139,18.3837490073"
42,-74.16836084955168,18.36650135383992,-74.15686241391495,18.37799978947665,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1683608496,18.3665013538,-74.1568624139,18.3779997895"
43,-74.16261163173331,18.475736492388855,-74.15111319609659,18.487234928025586,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1626116317,18.4757364924,-74.1511131961,18.4872349280"
44,-74.16261163173331,18.46998727457049,-74.15111319609659,18.48148571020722,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1626116317,18.4699872746,-74.1511131961,18.4814857102"
45,-74.16261163173331,18.464238056752123,-74.15111319609659,18.475736492388855,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1626116317,18.4642380568,-74.1511131961,18.4757364924"
46,-74.16261163173331,18.45848883893376,-74.15111319609659,18.469987274570492,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1626116317,18.4584888389,-74.1511131961,18.4699872746"
47,-74.16261163173331,18.44699040329703,-74.15111319609659,18.45848883893376,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1626116317,18.4469904033,-74.1511131961,18.4584888389"
48,-74.16261163173331,18.383749007295016,-74.15111319609659,18.395247442931748,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1626116317,18.3837490073,-74.1511131961,18.3952474429"
49,-74.16261163173331,18.37799978947665,-74.15111319609659,18.389498225113382,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1626116317,18.3779997895,-74.1511131961,18.3894982251"
50,-74.16261163173331,18.372250571658284,-74.15111319609659,18.383749007295016,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1626116317,18.3722505717,-74.1511131961,18.3837490073"
51,-74.16261163173331,18.36650135383992,-74.15111319609659,18.37799978947665,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1626116317,18.3665013538,-74.1511131961,18.3779997895"
52,-74.16261163173331,18.35500291820319,-74.15111319609659,18.366501353839922,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1626116317,18.3550029182,-74.1511131961,18.3665013538"
53,-74.16261163173331,18.349253700384825,-74.15111319609659,18.360752136021556,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1626116317,18.3492537004,-74.1511131961,18.3607521360"
54,-74.15686241391495,18.46998727457049,-74.14536397827823,18.48148571020722,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1568624139,18.4699872746,-74.1453639783,18.4814857102"
55,-74.15686241391495,18.464238056752123,-74.14536397827823,18.475736492388855,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1568624139,18.4642380568,-74.1453639783,18.4757364924"
56,-74.15686241391495,18.45848883893376,-74.14536397827823,18.469987274570492,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1568624139,18.4584888389,-74.1453639783,18.4699872746"
57,-74.15686241391495,18.452739621115395,-74.14536397827823,18.464238056752126,8.983152841189951e-05,-8.983152841195546e-05,3,1269,train,"-74.1568624139,18.4527396211,-74.1453639783,18.4642380568"
