sample_id,split
0,train
1,train
2,train
3,val
4,train
5,train
6,train
7,train
8,train
9,train
10,train
11,train
12,train
13,train
14,train
15,val
16,train
17,train
18,train
19,train
20,train
21,train
22,train
23,test
24,train
25,train
26,train
27,val
28,val
29,test
30,test
31,train
32,test
33,train
34,train
35,val
36,val
37,train
38,train
39,val
40,train
41,val
42,train
43,train
44,test
45,train
46,train
47,val
48,train
49,test
50,train
51,test
52,train
53,train
54,val
55,train
56,train
57,train
58,train
59,test
60,train
61,val
62,train
63,val
64,train
65,test
66,train
67,test
68,val
69,test
70,test
71,val
72,val
73,test
74,train
75,train
76,test
77,train
78,test
79,train
80,train
81,train
82,train
83,train
84,train
85,train
86,train
87,train
88,train
89,train
90,train
91,train
92,train
93,val
94,val
95,val
96,train
97,train
98,train
99,test
100,val
101,train
102,val
103,train
104,train
105,train
106,train
107,train
108,train
109,test
110,val
111,train
112,train
113,train
114,train
115,test
116,val
117,train
118,train
119,train
120,train
121,val
122,train
123,test
124,test
125,train
126,train
127,val
128,train
129,val
130,train
131,train
132,val
133,train
134,train
135,test
136,train
137,train
138,train
139,train
140,val
141,test
142,val
143,train
144,train
145,train
146,train
147,train
148,train
149,train
150,val
151,train
152,train
153,train
154,train
155,train
156,train
157,train
158,train
159,train
160,train
161,train
162,test
163,train
164,val
165,train
166,train
167,train
168,test
169,train
170,train
171,train
172,train
173,test
174,val
175,train
176,train
177,train
178,train
179,val
180,train
181,train
182,train
183,train
184,train
185,test
186,train
187,train
188,test
189,train
190,train
191,train
192,train
193,val
194,train
195,val
196,train
197,train
198,val
199,train
200,train
201,train
202,val
203,test
204,train
205,train
206,train
207,train
208,train
209,val
210,test
211,train
212,test
213,val
214,train
215,val
216,train
217,train
218,train
219,train
220,test
221,train
222,train
223,val
224,train
225,train
226,train
227,train
228,train
229,train
230,train
231,train
232,train
233,val
234,val
235,train
236,train
237,test
238,train
239,test
240,test
241,train
242,train
243,train
244,train
245,val
246,train
247,test
248,val
249,val
250,train
251,test
252,train
253,train
254,test
255,train
256,train
257,val
258,train
259,train
260,val
261,test
262,train
263,val
264,train
265,train
266,train
267,train
268,train
269,train
270,train
